uuid,town,lat,lng,minElevation,numAntennas,uplinkGhz,unconfirmed
632430d9e1135,Puerto Montt,-41.4866,-73.022,25,8,2.1,
632430d9e1136,"Sullivan, ME",44.530972,-68.224,25,8,2.1,
632430d9e1137,Aerzen,52.06,9.329,25,8,2.1,
632430d9e1138,"Merredin, WA",-31.494875,118.27777,25,8,2.1,
632430d9e1139,"Cataby, WA",-30.848289,115.61951,25,8,2.1,
632430d9e113a,"Ki Ki, SA",-35.57156,139.81749,25,8,2.1,
632430d9e113b,"Torrumbarry, VIC",-36.025227,144.50012,25,8,2.1,
632430d9e113c,"Cobargo, NSW",-36.388611,149.89139,25,8,2.1,
632430d9e113d,"Bogantungan, QLD",-23.64686,147.29128,25,8,2.1,
632430d9e113e,"Calrossie, NSW",-29.057781,150.04001,25,8,2.1,
632430d9e113f,"Springbrook Creek, NSW",-30.439794,149.683847,25,8,2.1,
632430d9e1140,"Bulla Bulling, WA",-31.029747,120.81982,25,8,2.1,
632430d9e1141,Elfordstown,51.953182,-8.174168,25,4,2.1,
632430d9e1148,Ballinspittle,51.644982,-8.588006,25,8,2.1,
632430d9e1149,"New Braunfels, TX",29.784056,-98.050778,25,8,2.1,
632430d9e114a,"Nome, AK",64.503506,-165.4283,25,8,2.1,
632430d9e114b,"Lunenburg, VT",44.412028,-71.731833,25,8,2.1,
632430d9e114c,"Loring, ME",46.914917,-67.919528,25,8,2.1,
632430d9e114d,"Anakie, VIC",-37.953169,144.328172,25,8,2.1,
632430d9e114e,"Koonwarra, VIC",-38.51812,145.95145,25,8,2.1,
632430d9e114f,"Warra, QLD",-26.908108,150.89206,25,8,2.1,
632430d9e1150,Saguenay,48.313705,-70.908799,25,8,2.1,
632430d9e1151,Marathon,48.72538889,-86.37445278,25,8,2.1,
632430d9e1152,Sambro Creek,44.46452778,-63.61308333,25,8,2.1,
632430d9e1153,Muallim,40.78877,29.509442,25,8,2.1,
632430d9e1154,Wola Krobowska,51.864167,20.921061,25,8,2.1,
632430d9e1155,"Canyonleigh, NSW",-34.589043,150.18839,25,8,2.1,
632430d9e1156,"Tea Gardens, NSW",-32.593193,152.1042,25,8,2.1,
632430d9e1157,Alfouvar de Cima,38.868565,-9.282082,25,8,2.1,
632430d9e1158,Villarejo de Salvanes,40.167603,-3.286857,25,8,2.1,
632430d9e1159,Ibi,38.608435,-0.600713,25,8,2.1,
632430d9e115a,Lepe,37.25562,-7.213455,25,8,2.1,
632430d9e115b,Kaunas,54.879513,23.841886,25,8,2.1,
632430d9e115c,Suva (Emergency),-18.12892,178.468279,15,4,2.1,
632430d9e115d,"Toa Baja, PR",18.431056,-66.192086,25,8,2.1,
632430d9e115e,"Ponce, PR",18.061978,-66.547836,25,8,2.1,
632430d9e115f,"Apra Heights, GU",13.408639,144.679194,25,8,2.1,
632430d9e1160,Monterey,25.7702,-100.3019,25,8,2.1,
632430d9e1161,Peñuelas,21.731434,-102.27532,25,8,2.1,
632430d9e1162,Charcas,23.2262,-100.9792,25,8,2.1,
632430d9e1163,El Marques,20.760828,-100.33557,25,8,2.1,
632430d9e1164,Villahermosa,18.0411,-92.9326,25,8,2.1,
632430d9e1165,Merida,21.0072,-89.6439,25,8,2.1,
632430d9e1166,Tapachula,14.7863,-92.3672,25,8,2.1,
632430d9e1167,Cabo San Lucas,22.9127,-109.9257,25,8,2.1,
632430d9e116e,Mazahua,16.6096,-94.9642,25,8,2.1,
632430d9e116f,Llano Grande,19.2589,-99.5811,25,8,2.1,
632430d9e1170,Camaçari,-12.748333333333333,-38.2830555555555,25,8,2.1,
632430d9e1171,Guarapari,-20.557777777777666,-40.408611111111,25,8,2.1,
632430d9e1172,Itaboraí,-22.696666666666665,-42.872777777777664,25,8,2.1,
632430d9e1173,João Câmara,-5.546111111111,-35.81694444444433,25,8,2.1,
632430d9e1174,Luz,-19.803333333333335,-45.681111111111,25,8,2.1,
632430d9e1175,Montes Claros,-16.683611111111,-43.833333333333336,25,8,2.1,
632430d9e1176,Mossoró,-5.156944444444333,-37.353611111111,25,8,2.1,
632430d9e1177,Passa Quatro,-22.349444444444334,-44.94527777777767,25,8,2.1,
632430d9e1178,Porto Alegre,-29.984166666666667,-51.12083333333333,25,8,2.1,
632430d9e1179,Presidente Prudente,-22.146111111111,-51.47416666666667,25,8,2.1,
632430d9e117a,Rio Negro,-26.088611111111,-49.792777777777665,25,8,2.1,
632430d9e117b,Santana de Parnaíba,-23.456388888888835,-46.94222222222216,25,8,2.1,
632430d9e117c,São Gonçalo do Amarante,-3.6747222222221665,-39.10277777777767,25,8,2.1,
632430d9e117d,Surubim,-7.853611111111,-35.77944444444433,25,8,2.1,
632430d9e117e,Uruguaiana,-29.7655555555555,-56.52694444444433,25,8,2.1,
632cbe4299aeb,Manaus,-2.9267388888888335,-59.997816666666665,25,8,2.1,
632430d9e117f,Falda del Carmen,-31.522476,-64.46092,25,8,2.1,
632430d9e1180,Milano,45.323488,9.187345,25,8,2.1,
632430d9e1181,Foggia,41.508211,15.586589,25,8,2.1,
632430d9e1182,Marsala,37.796801,12.507249,25,8,2.1,
632430d9e1184,Yamaguchi,34.217723,131.555555,25,8,2.1,
632430d9e1185,Lekki,6.449455,3.58777,25,8,2.1,
632430d9e1186,Bristol (LICENSE PENDING),51.466473,-2.322985,25,8,2.1,
632430d9e1187,Morn Hill (LICENSE PENDING),51.060168,-1.263883,25,8,2.1,
632430d9e1188,Fawley (LICENSE PENDING),50.823297,-1.337705,25,8,2.1,
632430d9e1189,Hoo (LICENSE PENDING),51.419024,0.573512,25,8,2.1,
632430d9e118a,Woodwalton (LICENSE PENDING),52.404967,-0.219117,25,8,2.1,
632430d9e118b,Wherstead (LICENSE PENDING),52.019224,1.14354,25,8,2.1,
632430d9e118c,Caleta,18.454029,-69.661705,25,8,2.1,
632430d9e118d,Santiago de los Caballeros,19.481035,-70.72657,25,8,2.1,
632430d9e1194,Akita,39.638378,140.064661,25,8,2.1,
632430d9e1195,Ajigaura,36.386742,140.613739,25,8,2.1,
632430d9e1196,Ishikari,43.173133,141.257923,25,8,2.1,
6324331346aed,"Anchorage, AK",61.185804,-149.8765,25,8,2.1,
